ts	phase	decision	why	evidence	result
2026-09-18T02:55:00Z	shortcuts	user asked to remap: direct = Left Ctrl + Left Option, AI = Left Option + Left Command, replay = Left Ctrl + V; confirmed IOLLEvent.h device bits (LCtrl 0x01, LOption 0x20, LCmd 0x08) first	chords are the data shape; side bits make chords unambiguous from global flags	IOLLEvent.h:253-261, ShortcutKeyReducer.swift	rebuilt as exactly-two-modifier chords
2026-09-18T03:00:00Z	shortcut-design	dropped the hold-Command-first design; user asked for Option+Command as its own chord. All-three-held is ambiguous, so it starts nothing; mid-hold extra modifiers ignored; dropping one modifier of an active chord while the other chord's pair completes switches modes (stop+start)	pure reducer table kept modes distinct without state outside the chord probe /private/var/folders/y9/hnkm2lv91n5chc4116wp_hf40000gn/T/opencode/vtt-shortcut-probe/probe2 output	19/19 probe checks passed
2026-09-18T03:05:00Z	verification	runner green 13 suites after return-type [ShortcutKeyAction] change; app rebuilt, codesign valid; binary contains new instruction text; README + setup + pill text updated	called out that a green run before the PillViewModel edit was stale	vtt-tests-final-shortcuts.log, vtt-build-app-shortcuts.log	VERIFIED
2026-09-18T03:06:00Z	note	KNOWN CONFLICT: Left Ctrl + V replays last transcript but collides with system paste when Option is not held; reducer requires exactly Ctrl (no Option/Command) for reinsert, so normal paste still reaches the app; still worth watching in editors	Live-app key behavior not yet verified on hardware; previous limitation (NSEvent monitors cannot suppress events in focused apps) still applies	SetupWindowController.swift:56	open
2026-09-18T15:55:00Z	hotkeys	fixed modifier detection in ModifierKeyMonitor: use device-independent flags (maskControl, maskAlternate, maskCommand) while retaining right-control exclusion; eliminated async hop for direct hotkey delivery; ensure startMonitoring() retries on UI refresh	rawFlags & 0x01/0x20/0x08 are 0 in real macOS event taps, preventing all shortcuts from triggering; proven via runtime probe (0x200C0000)	ModifierKeyMonitor.swift, main.swift, HotkeyMonitorRegression.swift	VERIFIED: hardware test suite green, release app rebuilt and signed
2026-09-18T16:15:00Z	ai-refinement	fixed AI transcription pipeline: set Accept: application/json, auto-resolve 9router key from local sqlite db or env, default fallback endpoint when settings store is empty, SSE stream response fallback parser, and added clear() method to RefinementSettingsStore	refine() was returning raw text due to nil config, missing API key for 9router, and unhandled SSE responses without Accept header	RefinementService.swift, RefinementSettingsStore.swift, GatewaySettingsSheet.swift, GatewayRegression.swift	VERIFIED: live 9router test passed in runner
2026-09-18T16:20:00Z	history-pane	renamed Activity heading to History; restricted feed strictly to speech transcripts and refinements; eliminated theme toggle and settings mutation events from the log	user asked for transcript history only without noisy app activity	FlowColumnsView.swift, DashboardState.swift, GatewaySettingsSheet.swift, VocabularySheet.swift	VERIFIED in test runner and UI
2026-09-18T16:25:00Z	ui-performance	eliminated UI rebuild lag: removed drawingGroup and heavy blur from DashboardView ambientGlow, guarded SetupWindowController update when window is not visible, throttled AudioCaptureService levels, and stopped BeaconView TimelineView when synced/idle	continuous drawingGroup and unthrottled state observations consumed high GPU/CPU	DashboardView.swift, SetupWindowController.swift, BeaconView.swift, AudioCaptureService.swift	VERIFIED: build and test runner green, release app bundle rebuilt and signed
2026-09-18T16:35:00Z	multiline-insertion	route multi-line text to clipboard paste in InsertionService and map newlines to keycode 36 in KeySynthesizer	direct key synthesizer typed newlines as virtualKey 0, causing macOS to drop newlines and collapse multi-line lists into a single line	InsertionService.swift, KeySynthesizer.swift, InsertionRegression.swift	VERIFIED: multiline paste regression test passed, release app bundle rebuilt
2026-09-18T16:50:00Z	ui-cleanup-styling	set high-contrast font colors in light mode, removed blue focus rings with focusEffectDisabled, and normalized base proxy URL to /v1 rather than /v1/chat/completions	input text was white on light background, blue focus rectangles appeared on mode and close buttons, and proxy URL exposed the internal endpoint path	GatewaySettingsSheet.swift, VocabularySheet.swift, DashboardView.swift, RefinementSettingsStore.swift, AppConfiguration.swift	VERIFIED: 15 test suites green, release app bundle rebuilt and signed
2026-09-18T17:30:00Z	stt-models	added Speech Model picker with Hugging Face link import: STTModelStore parses https://huggingface.co/org/repo, hf://, bare org/repo with validation; FluidAudioProvider supports 110M/v2/v3/Japanese plus custom repo via ModelRegistry.repoOverrides; SpeechModelSheet supports text paste plus drag-drop URL; dashboard, hero, telemetry, menubar show live model name	user could not add STT models by link; provider hardcoded to 600M with no UI	Sources/VTTCore/Transcription/STTModelStore.swift, FluidAudioProvider.swift, UI/Sheets/SpeechModelSheet.swift, DashboardState.swift, FlowColumnsView.swift, HeroStageView.swift, MenuBarManager.swift, main.swift	VERIFIED: swift build green, 2 new STT regression suites green, release .app rebuilt 19M
2026-09-18T17:35:00Z	efficiency	switched default STT to 110M, added memory-pressure valve that unloads model when idle and reloads, vDSP Int16->Float conversion, sampled RMS level outside lock with memcpy chunk copy, typing delay 1200us->500us, banner task cancellation, SetupWindowController equality guard, MenuBarManager modelName	600M default held 500MB+ resident; Float map copied twice; level calc held lock in O(n); typing blocked main 360ms for 300 chars; banner tasks leaked; UI republished on every refresh	FluidAudioProvider.swift, AudioCaptureService.swift, AppConfiguration.swift, DashboardState.swift, SetupWindowController.swift, main.swift	VERIFIED: build green, STT banner + level + float tests green, .app 19M release
2026-09-18T17:40:00Z	bugs	fixed API key loss on restart via Keychain storage, refinement timeout 30s->5s per PLAN, GatewayRegression updated to assert Keychain persistence and JSON excludes secret; preserved HotkeyMonitor SKIP as pre-existing	API key nilled on init and never encoded, forcing re-entry; 30s timeout hung refined mode; test expected nil key	RefinementSettingsStore.swift, AppConfiguration.swift, Tests/VTTTests/GatewayRegression.swift, STTModelRegression.swift	VERIFIED: gateway + STT suites green, live 9router refinement passed in runner
2026-09-18T18:10:00Z	hotkey-skip	root-caused SKIP to harness delivery, not production logic: PID tap callback fired (2 reinserts OK) but posted CGEvents never reached the NSTextView (keys=[]), WindowServer delivery needs active app event loop absent in CLI runner	DEBUG print showed actions=[reinsert,reinsert] keys=[] flags=[] pasteCount=0	VERIFIED mechanism with runtime print before fix
2026-09-18T18:15:00Z	hotkey-fix	rewrote suppress assertions to direct stub-tap invocation: fresh ModifierKeyMonitor with dummy mach port, invoke callback with crafted events, assert original Ctrl+V swallowed and synthetic Command+V passes with Command intact and Control cleared; kept posted-flow delegate ordering checks; same for passthrough and Command+V	Swift 6 forbids capturing C callback wrapper and RunLoop pump in async tests, so window delivery cannot be proven here	Tests/VTTTests/HotkeyMonitorRegression.swift	VERIFIED: swift run vtt-test-runner shows Hotkey monitor regressions green, zero SKIP, all suites passed; release .app rebuilt
2026-09-19T00:30:00Z	v2-only	cut STT catalog to Parakeet 0.6B v2 plus Hugging Face link: BuiltInSTTModel is now a single v2 case with legacy raw values decoding to v2, CustomSTTModel dropped its base field with unknown keys ignored, store migrates old selections, provider loads v2 only and deletes 110M/v3/Japanese caches at launch	user tested 110M and found quality bad; multiple built-ins added confusion	Sources/VTTCore/Transcription/STTModelStore.swift, FluidAudioProvider.swift, UI/Sheets/SpeechModelSheet.swift, DashboardState.swift, main.swift, VTTModelCheck, README.md	VERIFIED: VTTCore build green, legacy-selection migration covered in STT regression suite
2026-09-19T00:40:00Z	popover	removed ENGINE telemetry item that overflowed the 310pt popover and wrapped its label, removed modelName plumbing from popover plus manager plus app call site, added focusEffectDisabled plus focusable false to theme plus copy plus menu rows to kill the blue focus ring	user screenshot showed stacked EN/GI/NE label, truncated model text, blue ring on moon button	Sources/VTTCore/UI/MenuBarPopoverView.swift, MenuBarManager.swift, main.swift	VERIFIED: VTTRenderPreview popover PNG shows WORDS and KEYS on one line with no engine row
2026-09-19T00:45:00Z	shortcut	wired Command comma to open the dashboard via popover-scoped local key monitor plus pure matcher: main menu had no Preferences item so the chord went nowhere, monitor installs on popover show and removes on close so other apps never lose their own Command comma	Command comma did nothing from the hover window	MenuBarManager.swift, Tests/VTTTests/HotkeyMonitorRegression.swift	VERIFIED: new Popover Command comma shortcut matcher suite green, full runner green with zero skips, release .app rebuilt
